cdm_id,created,tca,tca_date,tca_year,tca_month,emergency_reportable,fy1c_norad_id,fy1c_object_name,fy1c_object_type,fy1c_rcs,other_norad_id,other_object_name,other_object_type,other_rcs,miss_distance_km,miss_distance_m,collision_probability,pc_log10,is_debris_on_debris
1394976399,2026-03-20 12:16:02.000000,2026-03-21T08:35:41.865000,2026-03-21,2026,3,Y,37928,FENGYUN 1C DEB,DEBRIS,SMALL,30391,FENGYUN 1C DEB,DEBRIS,SMALL,178.0,178000.0,0.0001144851,-3.9413,True
1396064733,2026-03-21 05:46:09.000000,2026-03-21T09:54:39.733000,2026-03-21,2026,3,Y,37918,FENGYUN 1C DEB,DEBRIS,SMALL,30895,FENGYUN 1C DEB,DEBRIS,SMALL,154.0,154000.0,0.0001143261,-3.9419,True
1396373430,2026-03-21 12:08:47.000000,2026-03-21T17:28:56.973000,2026-03-21,2026,3,Y,30706,FENGYUN 1C DEB,DEBRIS,SMALL,12713,COSMOS 1275 DEB,DEBRIS,SMALL,12.0,12000.0,0.0008556953,-3.0677,False
1395416615,2026-03-20 21:49:15.000000,2026-03-21T17:28:57.020000,2026-03-21,2026,3,Y,30706,FENGYUN 1C DEB,DEBRIS,SMALL,12713,COSMOS 1275 DEB,DEBRIS,SMALL,208.0,208000.0,0.000207468,-3.683,False
1397009870,2026-03-21 22:09:11.000000,2026-03-21T23:21:56.855000,2026-03-21,2026,3,Y,30467,FENGYUN 1C DEB,DEBRIS,SMALL,54446,CZ-6A DEB,DEBRIS,SMALL,48.0,48000.0,0.00013396,-3.873,False
1395430391,2026-03-20 21:50:31.000000,2026-03-22T06:29:09.911000,2026-03-22,2026,3,Y,31239,FENGYUN 1C DEB,DEBRIS,SMALL,38285,METEOR 2-17 DEB,DEBRIS,SMALL,418.0,418000.0,0.0001003549,-3.9985,False
1396036053,2026-03-21 05:46:19.000000,2026-03-22T06:29:09.929000,2026-03-22,2026,3,Y,31239,FENGYUN 1C DEB,DEBRIS,SMALL,38285,METEOR 2-17 DEB,DEBRIS,SMALL,392.0,392000.0,0.000104771,-3.9798,False
1396372350,2026-03-21 12:08:38.000000,2026-03-22T13:45:29.494000,2026-03-22,2026,3,Y,30248,FENGYUN 1C DEB,DEBRIS,SMALL,4071,SL-8 R/B,ROCKET BODY,LARGE,333.0,333000.0,0.0001840101,-3.7352,False
1395415426,2026-03-20 21:49:04.000000,2026-03-22T13:45:29.550000,2026-03-22,2026,3,Y,30248,FENGYUN 1C DEB,DEBRIS,SMALL,4071,SL-8 R/B,ROCKET BODY,LARGE,305.0,305000.0,0.0001008424,-3.9964,False
1396051526,2026-03-21 05:42:22.000000,2026-03-22T13:45:30.006000,2026-03-22,2026,3,Y,30248,FENGYUN 1C DEB,DEBRIS,SMALL,4071,SL-8 R/B,ROCKET BODY,LARGE,135.0,135000.0,0.0001520598,-3.818,False
1397058312,2026-03-21 22:15:15.000000,2026-03-22T16:49:46.522000,2026-03-22,2026,3,Y,30064,FENGYUN 1C DEB,DEBRIS,SMALL,61381,CZ-6A DEB,DEBRIS,SMALL,91.0,91000.0,0.0002044145,-3.6895,False
1396471121,2026-03-21 12:16:48.000000,2026-03-22T16:49:46.568000,2026-03-22,2026,3,Y,30064,FENGYUN 1C DEB,DEBRIS,SMALL,61381,CZ-6A DEB,DEBRIS,SMALL,168.0,168000.0,0.0001000877,-3.9996,False
1395494361,2026-03-20 21:57:56.000000,2026-03-22T16:49:46.579000,2026-03-22,2026,3,Y,30064,FENGYUN 1C DEB,DEBRIS,SMALL,61381,CZ-6A DEB,DEBRIS,SMALL,163.0,163000.0,0.0002500034,-3.6021,False
1396404441,2026-03-21 12:11:54.000000,2026-03-22T23:12:48.567000,2026-03-22,2026,3,Y,47100,FENGYUN 1C DEB *,DEBRIS,SMALL,8458,COSMOS 783,PAYLOAD,LARGE,551.0,551000.0,0.0001889775,-3.7236,False
1395414360,2026-03-20 21:48:59.000000,2026-03-23T00:16:55.312000,2026-03-23,2026,3,Y,29791,FENGYUN 1C DEB,DEBRIS,SMALL,28479,SHIYAN 2 (SY-2),PAYLOAD,LARGE,392.0,392000.0,0.0001560269,-3.8068,False
